"","grp","subj","sent","seg","item","acc","rt","segtype","contr"
"187","EC",24006,"SO","c",12,1,"213","other","SOSS"
"188","EC",24006,"SO","d",12,1,"402","other","SOSS"
"189","EC",24006,"SO","c",13,1,"421","other","SOSS"
"190","EC",24006,"SO","d",13,1,"773","other","SOSS"
"191","EC",24006,"SO","c",14,1,"533","other","SOSS"
"192","EC",24006,"SO","d",14,1,"485","other","SOSS"
"193","EC",24006,"SO","c",15,1,"3","other","SOSS"
"194","EC",24006,"SO","d",15,1,"96","other","SOSS"
"195","EC",24006,"SO","c",16,1,"247","other","SOSS"
"196","EC",24006,"SO","d",16,1,"409","other","SOSS"
"197","EC",24006,"SO","c",18,1,"413","other","SOSS"
"198","EC",24006,"SO","d",18,1,"414","other","SOSS"
"199","EC",24006,"SO","c",19,1,"669","other","SOSS"
"200","EC",24006,"SO","d",19,1,"661","other","SOSS"
"201","EC",24006,"SO","c",20,1,"292","other","SOSS"
"202","EC",24006,"SO","d",20,1,"699","other","SOSS"
"203","EC",24006,"SS","c",11,1,"141","other","SOSS"
"204","EC",24006,"SS","d",11,1,"440","other","SOSS"
"205","EC",24006,"SS","c",12,1,"229","other","SOSS"
"206","EC",24006,"SS","d",12,1,"353","other","SOSS"
"207","EC",24006,"SS","c",13,1,"417","other","SOSS"
"208","EC",24006,"SS","d",13,1,"450","other","SOSS"
"209","EC",24006,"SS","c",14,1,"247","other","SOSS"
"210","EC",24006,"SS","d",14,1,"485","other","SOSS"
"211","EC",24006,"SS","c",15,0,"299","other","SOSS"
"212","EC",24006,"SS","d",15,0,"179","other","SOSS"
"213","EC",24006,"SS","c",16,1,"330","other","SOSS"
"214","EC",24006,"SS","d",16,1,"441","other","SOSS"
"215","EC",24006,"SS","c",17,1,"433","other","SOSS"
"216","EC",24006,"SS","d",17,1,"617","other","SOSS"
"217","EC",24006,"SS","c",18,1,"371","other","SOSS"
"218","EC",24006,"SS","d",18,1,"365","other","SOSS"
"219","EC",24006,"SS","c",19,1,"456","other","SOSS"
"220","EC",24006,"SS","d",19,1,"549","other","SOSS"
"221","EC",24006,"SS","c",20,1,"216","other","SOSS"
"222","EC",24006,"SS","d",20,1,"195","other","SOSS"
"223","EC",24007,"SO","c",11,1,"248","other","SOSS"
"224","EC",24007,"SO","d",11,1,"261","other","SOSS"
"225","EC",24007,"SO","c",12,1,"461","other","SOSS"
"226","EC",24007,"SO","d",12,1,"67","other","SOSS"
"227","EC",24007,"SO","c",13,1,"293","other","SOSS"
"228","EC",24007,"SO","d",13,1,"533","other","SOSS"
"229","EC",24007,"SO","c",14,1,"365","other","SOSS"
"230","EC",24007,"SO","d",14,1,"13","other","SOSS"
"231","EC",24007,"SO","c",15,1,"308","other","SOSS"
"232","EC",24007,"SO","d",15,1,"231","other","SOSS"
"233","EC",24007,"SO","c",16,1,"48","other","SOSS"
"234","EC",24007,"SO","d",16,1,"257","other","SOSS"
"235","EC",24007,"SO","c",17,1,"81","other","SOSS"
"236","EC",24007,"SO","d",17,1,"185","other","SOSS"
"237","EC",24007,"SO","c",18,1,"365","other","SOSS"
"238","EC",24007,"SO","d",18,1,"87","other","SOSS"
"239","EC",24007,"SO","c",19,1,"108","other","SOSS"
"240","EC",24007,"SO","d",19,1,"269","other","SOSS"
"241","EC",24007,"SO","c",20,1,"76","other","SOSS"
"242","EC",24007,"SO","d",20,1,"411","other","SOSS"
"243","EC",24007,"SS","c",11,1,"93","other","SOSS"
"244","EC",24007,"SS","d",11,1,"128","other","SOSS"
"245","EC",24007,"SS","c",12,1,"53","other","SOSS"
"246","EC",24007,"SS","d",12,1,"97","other","SOSS"
"247","EC",24007,"SS","c",13,1,"194","other","SOSS"
"248","EC",24007,"SS","d",13,1,"483","other","SOSS"
"249","EC",24007,"SS","c",14,1,"63","other","SOSS"
"250","EC",24007,"SS","d",14,1,"757","other","SOSS"
"251","EC",24007,"SS","c",15,1,"435","other","SOSS"
"252","EC",24007,"SS","d",15,1,"442","other","SOSS"
"253","EC",24007,"SS","c",16,1,"194","other","SOSS"
"254","EC",24007,"SS","d",16,1,"32","other","SOSS"
"255","EC",24007,"SS","c",17,1,"169","other","SOSS"
"256","EC",24007,"SS","d",17,1,"129","other","SOSS"
